total_loc,blank_loc,comment_loc,code_and_comment_loc,executable_loc,unique_operands,unique_operators,total_operands,total_operators,halstead_vocabulary,halstead_length,halstead_volume,halstead_level,halstead_difficulty,halstead_effort,halstead_error,halstead_time,branch_count,decision_count,call_pairs,condition_count,multiple_condition_count,cyclomatic_complexity,cyclomatic_density,decision_density,design_complexity,design_density,normalized_cyclomatic_complexity,formal_parameters,defects
103.0,61.0,3,0,39.0,26,19,81.0,111.0,45,192.0,730.0,0.033788,29.5962,21605.1923,0.24333,1200.2885,16,8,2,7,1,8,0.20513,1.1429,2,0.25,0.07767,0,False
53.0,22.0,5,0,26.0,18,16,38.0,54.0,34,92.0,324.0,0.059211,16.8889,5472.0,0.108,304.0,12,6,0,5,2,5,0.19231,1.2,0,0.0,0.09434,1,False
25.0,10.0,1,0,14.0,12,14,42.0,58.0,26,100.0,325.0,0.040816,24.5,7962.5,0.10833,442.3611,2,1,0,1,0,2,0.14286,1.0,0,0.0,0.08,2,False
73.0,22.0,8,1,43.0,25,12,67.0,97.0,37,164.0,592.0,0.062189,16.08,9519.36,0.19733,528.8533,30,15,0,15,7,9,0.2093,1.0,0,0.0,0.12329,0,False
69.0,21.0,17,0,31.0,16,9,28.0,48.0,25,76.0,244.0,0.12698,7.875,1921.5,0.081333,106.75,26,13,0,13,6,8,0.25806,1.0,0,0.0,0.11594,0,False
42.0,18.0,1,0,23.0,12,10,23.0,39.0,22,62.0,191.0,0.10435,9.5833,1830.4167,0.063667,101.6898,14,7,0,7,1,7,0.30435,1.0,0,0.0,0.16667,0,False
69.0,26.0,10,0,33.0,17,12,39.0,64.0,29,103.0,346.0,0.07265,13.7647,4762.5882,0.11533,264.5882,24,12,0,12,4,9,0.27273,1.0,0,0.0,0.13043,0,False
58.0,26.0,0,0,32.0,17,14,48.0,82.0,31,130.0,446.0,0.050595,19.7647,8815.0588,0.14867,489.7255,12,6,0,6,2,5,0.15625,1.0,0,0.0,0.086207,1,False
45.0,20.0,2,0,23.0,27,12,61.0,77.0,39,138.0,505.0,0.07377,13.5556,6845.5556,0.16833,380.3086,4,2,0,2,0,3,0.13043,1.0,0,0.0,0.066667,0,False
102.0,55.0,6,0,41.0,23,13,111.0,130.0,36,241.0,863.0,0.031878,31.3696,27071.9348,0.28767,1503.9964,10,5,2,5,2,4,0.097561,1.0,2,0.5,0.039216,0,False
89.0,22.0,17,0,50.0,21,18,52.0,82.0,39,134.0,490.0,0.044872,22.2857,10920.0,0.16333,606.6667,24,12,1,11,4,9,0.18,1.0909,1,0.11111,0.10112,0,True
58.0,25.0,10,0,23.0,19,11,35.0,56.0,30,91.0,309.0,0.098701,10.1316,3130.6579,0.103,173.9254,8,4,7,4,1,4,0.17391,1.0,7,1.75,0.068966,0,False
530.0,235.0,78,0,217.0,60,12,329.0,478.0,72,807.0,3451.0,0.030395,32.9,113537.9,1.1503,6307.6611,176,88,31,88,34,55,0.25346,1.0,31,0.56364,0.10377,0,False
907.0,395.0,209,4,303.0,112,20,560.0,829.0,132,1389.0,6782.0,0.02,50.0,339100.0,2.2607,18838.8889,210,105,54,104,31,75,0.24752,1.0096,54,0.72,0.08269,0,True
142.0,62.0,14,0,66.0,44,17,114.0,174.0,61,288.0,1183.0,0.045408,22.0227,26052.8864,0.39433,1447.3826,34,17,12,17,7,11,0.16667,1.0,12,1.0909,0.077465,0,True
16.0,3.0,0,0,13.0,18,10,21.0,31.0,28,52.0,173.0,0.17143,5.8333,1009.1667,0.057667,56.0648,4,2,0,2,0,3,0.23077,1.0,0,0.0,0.1875,0,False
70.0,35.0,11,0,24.0,20,12,30.0,50.0,32,80.0,277.0,0.11111,9.0,2493.0,0.092333,138.5,12,6,6,5,1,6,0.25,1.2,6,1.0,0.085714,0,False
185.0,81.0,18,0,86.0,42,15,99.0,173.0,57,272.0,1099.0,0.056566,17.6786,19428.75,0.36633,1079.375,52,26,3,26,2,25,0.2907,1.0,3,0.12,0.13514,0,False
56.0,0.0,27,0,29.0,12,7,13.0,24.0,19,37.0,108.0,0.26374,3.7917,409.5,0.036,22.75,6,3,4,3,1,3,0.10345,1.0,4,1.3333,0.053571,0,False
86.0,48.0,1,0,37.0,32,13,58.0,94.0,45,152.0,578.0,0.084881,11.7812,6809.5625,0.19267,378.309,20,10,11,9,2,9,0.24324,1.1111,11,1.2222,0.10465,0,False
103.0,55.0,4,0,44.0,30,17,58.0,86.0,47,144.0,554.0,0.060852,16.4333,9104.0667,0.18467,505.7815,14,7,5,6,2,6,0.13636,1.1667,5,0.83333,0.058252,0,True
50.0,23.0,4,0,23.0,18,6,23.0,47.0,24,70.0,222.0,0.26087,3.8333,851.0,0.074,47.2778,14,7,8,7,1,7,0.30435,1.0,8,1.1429,0.14,0,False
240.0,121.0,5,1,114.0,65,19,185.0,249.0,84,434.0,1922.0,0.036984,27.0385,51967.9231,0.64067,2887.1068,48,24,28,24,4,20,0.17544,1.0,28,1.4,0.083333,0,True
42.0,16.0,4,0,22.0,18,9,25.0,43.0,27,68.0,224.0,0.16,6.25,1400.0,0.074667,77.7778,12,6,6,5,2,5,0.22727,1.2,6,1.2,0.11905,0,False
161.0,61.0,19,0,81.0,39,11,110.0,173.0,50,283.0,1107.0,0.064463,15.5128,17172.6923,0.369,954.0385,56,28,1,28,10,19,0.23457,1.0,1,0.052632,0.11801,0,True
23.0,9.0,4,0,10.0,11,10,15.0,24.0,21,39.0,118.0,0.14667,6.8182,804.5455,0.039333,44.697,4,2,0,2,0,3,0.3,1.0,0,0.0,0.13043,0,False
13.0,6.0,1,0,6.0,5,4,5.0,9.0,9,14.0,30.0,0.5,2.0,60.0,0.01,3.3333,0,0,2,0,0,1,0.16667,0.0,2,2.0,0.076923,0,False
